[METADATA]
Name: brd14051
Dimension: 14051

[TSP_DATA_INFO]
Type: TSP, Traveling salesman problem (TSP) 
3294: (4079, 9333)
3295: (4080, 2857)
3296: (4080, 5346)
3297: (4080, 5913)
3298: (4080, 6209)
3299: (4081, 7645)
3300: (4082, 3552)
3301: (4082, 4942)
3302: (4082, 5095)
3303: (4082, 6195)
3304: (4082, 7507)
3305: (4082, 7600)
3306: (4082, 9446)
3307: (4083, 4818)
3308: (4083, 5330)
3309: (4083, 8719)
3310: (4083, 8999)
3311: (4084, 2766)
3312: (4084, 5216)
3313: (4084, 6489)
3314: (4085, 4346)
3315: (4085, 4979)
3316: (4085, 5818)
3317: (4085, 6185)
3318: (4085, 6352)
3319: (4085, 8452)
3320: (4086, 3379)
3321: (4086, 4699)
3322: (4086, 5715)
3323: (4087, 5976)
3324: (4087, 6148)
3325: (4087, 6240)
3326: (4087, 8643)
3327: (4088, 5559)
3328: (4088, 5760)
3329: (4088, 7537)
3330: (4088, 7571)
3331: (4089, 2675)
3332: (4089, 5585)
3333: (4089, 6002)
3334: (4089, 6450)
3335: (4090, 3119)
3336: (4090, 4333)
3337: (4090, 5606)
3338: (4090, 6037)
3339: (4090, 6130)
3340: (4091, 3003)
3341: (4091, 3284)
3342: (4091, 5273)
3343: (4091, 5509)
3344: (4091, 5955)
3345: (4092, 3228)
3346: (4092, 3413)
3347: (4092, 3440)
3348: (4092, 4877)
3349: (4092, 5022)
3350: (4092, 5627)
3351: (4092, 5671)
3352: (4092, 5808)
3353: (4092, 7098)
3354: (4093, 5149)
3355: (4093, 6221)
3356: (4094, 3076)
3357: (4094, 4496)
3358: (4094, 5036)
3359: (4094, 5962)
3360: (4094, 7442)
3361: (4094, 9134)
3362: (4095, 3621)
3363: (4095, 5076)
3364: (4095, 5906)
3365: (4095, 6111)
3366: (4095, 6921)
3367: (4095, 7524)
3368: (4096, 5985)
3369: (4097, 2853)
3370: (4097, 3008)
3371: (4097, 5174)
3372: (4097, 5241)
3373: (4097, 5563)
3374: (4097, 7278)
3375: (4098, 2708)
3376: (4098, 2820)
3377: (4098, 5820)
3378: (4098, 6170)
3379: (4098, 7590)
3380: (4098, 7611)
3381: (4099, 3575)
3382: (4099, 4966)
3383: (4099, 6092)
3384: (4099, 7251)
3385: (4100, 3144)
3386: (4100, 5014)
3387: (4100, 6450)
3388: (4100, 8966)
3389: (4101, 5652)
3390: (4102, 8304)
3391: (4103, 4897)
3392: (4103, 6191)
3393: (4103, 6966)
3394: (4103, 8189)
3395: (4103, 9391)
3396: (4104, 4799)
3397: (4104, 6104)
3398: (4104, 9092)
3399: (4105, 4583)
3400: (4105, 5578)
3401: (4106, 2892)
3402: (4106, 3346)
3403: (4106, 5157)
3404: (4106, 5302)
3405: (4106, 5352)
3406: (4106, 6130)
3407: (4107, 5662)
3408: (4107, 6027)
3409: (4107, 9071)
3410: (4108, 2762)
3411: (4108, 4770)
3412: (4108, 5050)
3413: (4108, 5252)
3414: (4110, 4676)
3415: (4110, 4837)
3416: (4110, 5702)
3417: (4110, 5726)
3418: (4110, 6161)
3419: (4110, 7601)
3420: (4110, 8560)
3421: (4111, 3090)
3422: (4111, 5424)
3423: (4111, 5774)
3424: (4111, 5810)
3425: (4111, 6012)
3426: (4111, 6259)
3427: (4112, 3320)
3428: (4112, 4447)
3429: (4112, 5266)
3430: (4112, 5506)
3431: (4112, 5998)
3432: (4112, 6092)
3433: (4112, 6193)
3434: (4112, 6213)
3435: (4113, 4386)
3436: (4113, 5283)
3437: (4113, 5965)
3438: (4113, 6298)
3439: (4114, 4918)
3440: (4114, 4992)
3441: (4114, 5209)
3442: (4114, 5643)
3443: (4115, 3105)
3444: (4115, 3306)
3445: (4115, 5229)
3446: (4115, 5241)
3447: (4115, 5564)
3448: (4115, 5678)
3449: (4115, 8866)
3450: (4116, 2776)
3451: (4116, 8840)
3452: (4116, 8960)
3453: (4117, 3157)
3454: (4117, 3515)
3455: (4117, 5087)
3456: (4117, 5487)
3457: (4117, 9423)
3458: (4118, 3684)
3459: (4118, 5579)
3460: (4118, 6553)
3461: (4119, 3484)
3462: (4119, 5455)
3463: (4119, 5664)
3464: (4119, 5979)
3465: (4119, 7150)
3466: (4120, 3449)
3467: (4120, 3462)
3468: (4120, 5530)
3469: (4120, 5625)
3470: (4120, 5760)
3471: (4120, 5938)
3472: (4120, 6156)
3473: (4120, 7540)
3474: (4121, 3644)
3475: (4121, 6098)
3476: (4121, 6180)
3477: (4122, 2915)
3478: (4122, 2937)
3479: (4122, 3257)
3480: (4122, 4355)
3481: (4122, 4937)
3482: (4122, 5731)
3483: (4122, 6868)
3484: (4122, 7390)
3485: (4122, 7924)
3486: (4123, 5066)
3487: (4123, 6167)
3488: (4123, 6700)
3489: (4123, 7222)
3490: (4124, 5018)
3491: (4124, 5328)
3492: (4124, 5676)
3493: (4125, 3594)
3494: (4125, 5170)
3495: (4125, 5422)
3496: (4126, 2884)
3497: (4126, 3126)
3498: (4126, 6430)
3499: (4127, 3116)
3500: (4127, 4391)
3501: (4127, 5913)
3502: (4127, 6635)
3503: (4127, 7522)
3504: (4127, 7543)
3505: (4127, 7572)
3506: (4128, 3797)
3507: (4128, 5124)
3508: (4128, 5306)
3509: (4128, 7349)
3510: (4129, 3031)
3511: (4129, 3492)
3512: (4129, 5727)
3513: (4129, 5955)
3514: (4129, 8025)
3515: (4130, 5410)
3516: (4130, 6105)
3517: (4130, 6129)
3518: (4130, 6489)
3519: (4130, 7212)
3520: (4130, 7469)
3521: (4131, 2810)
3522: (4131, 3730)
3523: (4131, 4895)
3524: (4131, 5339)
3525: (4131, 5708)
3526: (4131, 6836)
3527: (4132, 5093)
3528: (4132, 5636)
3529: (4132, 6217)
3530: (4132, 8628)
3531: (4132, 8803)
3532: (4133, 2944)
3533: (4133, 3397)
3534: (4133, 4946)
3535: (4133, 5032)
3536: (4133, 5560)
3537: (4133, 5618)
3538: (4133, 5654)
3539: (4133, 6563)
3540: (4133, 8708)
3541: (4134, 3060)
3542: (4134, 5052)
3543: (4134, 5762)
3544: (4134, 5928)
3545: (4134, 8490)
3546: (4134, 9323)
3547: (4135, 4453)
3548: (4135, 5257)
3549: (4135, 5781)
3550: (4136, 6764)
3551: (4136, 9106)
3552: (4137, 5192)
3553: (4137, 5690)
3554: (4137, 6160)
3555: (4137, 7763)
3556: (4138, 5672)
3557: (4138, 6036)
3558: (4138, 6215)
3559: (4139, 5897)
3560: (4139, 6790)
3561: (4140, 5307)
3562: (4140, 5326)
3563: (4140, 9008)
3564: (4141, 5139)
3565: (4141, 5994)
3566: (4141, 6025)
3567: (4141, 6146)
3568: (4141, 6195)
3569: (4141, 7276)
3570: (4141, 9583)
3571: (4142, 3159)
3572: (4142, 4436)
3573: (4142, 4994)
3574: (4142, 6267)
3575: (4142, 6528)
3576: (4142, 7646)
3577: (4143, 3236)
3578: (4143, 7167)
3579: (4143, 7862)
3580: (4143, 9395)
3581: (4144, 5063)
3582: (4144, 5239)
3583: (4144, 5439)
3584: (4144, 5518)
3585: (4144, 5598)
3586: (4144, 6931)
3587: (4145, 4698)
3588: (4145, 5914)
3589: (4145, 5967)
3590: (4145, 9504)
3591: (4146, 3297)
3592: (4146, 5013)
3593: (4146, 5083)
3594: (4146, 5425)
3595: (4146, 5800)
3596: (4146, 7030)
3597: (4146, 8260)
3598: (4147, 4422)
3599: (4147, 5217)
3600: (4147, 5738)
3601: (4147, 8091)
3602: (4148, 3092)
3603: (4148, 5177)
3604: (4149, 4978)
3605: (4149, 5612)
3606: (4149, 6187)
3607: (4149, 6815)
3608: (4150, 3273)
3609: (4150, 3588)
3610: (4150, 4654)
3611: (4150, 5284)
3612: (4150, 8303)
3613: (4151, 3122)
3614: (4151, 4935)
3615: (4151, 5190)
3616: (4151, 8189)
3617: (4152, 5569)
3618: (4153, 3439)
3619: (4153, 3476)
3620: (4153, 6170)
3621: (4153, 9460)
3622: (4154, 2846)
3623: (4154, 5657)
3624: (4154, 5671)
3625: (4154, 6065)
3626: (4154, 6262)
3627: (4155, 8774)
3628: (4156, 3211)
3629: (4156, 4371)
3630: (4156, 5840)
3631: (4157, 3507)
3632: (4157, 3857)
3633: (4157, 5237)
3634: (4157, 5613)
3635: (4157, 9261)
3636: (4158, 2860)
3637: (4158, 6023)
3638: (4159, 2713)
3639: (4159, 5126)
3640: (4159, 5149)
3641: (4159, 5481)
3642: (4159, 5819)
3643: (4161, 5958)
3644: (4161, 6394)
3645: (4161, 9187)
3646: (4162, 2911)
3647: (4162, 5309)
3648: (4162, 5938)
3649: (4162, 8428)
3650: (4162, 8913)
3651: (4163, 2934)
3652: (4163, 2987)
3653: (4163, 5090)
3654: (4163, 6158)
3655: (4163, 6989)
3656: (4164, 4488)
3657: (4164, 5567)
3658: (4164, 7013)
3659: (4165, 2898)
3660: (4165, 3544)
3661: (4165, 4344)
3662: (4165, 5332)
3663: (4166, 5548)
3664: (4166, 5873)
3665: (4166, 6122)
3666: (4166, 6185)
3667: (4167, 4399)
3668: (4167, 5640)
3669: (4167, 5906)
3670: (4167, 6922)
3671: (4167, 7594)
3672: (4168, 3239)
3673: (4168, 3793)
3674: (4168, 5174)
3675: (4168, 5265)
3676: (4168, 7065)
3677: (4168, 9066)
3678: (4169, 5764)
3679: (4169, 6220)
3680: (4170, 3829)
3681: (4170, 4822)
3682: (4170, 4860)
3683: (4170, 5606)
3684: (4170, 6164)
3685: (4170, 7348)
3686: (4170, 8739)
3687: (4170, 8846)
3688: (4171, 2927)
3689: (4171, 4908)
3690: (4171, 5690)
3691: (4171, 5979)
3692: (4171, 6289)
3693: (4171, 7964)
3694: (4172, 5665)
3695: (4172, 5845)
3696: (4172, 5945)
3697: (4172, 5976)
3698: (4172, 6096)
3699: (4173, 2778)
3700: (4173, 2945)
3701: (4173, 3579)
3702: (4173, 4887)
3703: (4173, 6204)
3704: (4173, 7905)
3705: (4174, 3084)
3706: (4174, 5573)
3707: (4174, 8598)
3708: (4174, 8695)
3709: (4175, 4846)
3710: (4175, 5914)
3711: (4176, 5398)
3712: (4176, 6010)
3713: (4176, 6044)
3714: (4176, 6171)
3715: (4176, 6816)
3716: (4177, 2752)
3717: (4177, 3668)
3718: (4177, 5995)
3719: (4177, 6457)
3720: (4177, 7111)
3721: (4178, 4437)
3722: (4178, 5923)
3723: (4178, 6225)
3724: (4179, 3368)
3725: (4179, 5003)
3726: (4179, 5035)
3727: (4179, 5745)
3728: (4179, 5785)
3729: (4179, 5832)
3730: (4179, 6138)
3731: (4179, 8987)
3732: (4180, 7250)
3733: (4180, 8553)
3734: (4181, 5060)
3735: (4181, 5821)
3736: (4182, 3139)
3737: (4182, 9228)
3738: (4183, 3221)
3739: (4183, 5103)
3740: (4183, 5313)
3741: (4183, 7517)
3742: (4184, 2682)
3743: (4184, 2709)
3744: (4184, 3766)
3745: (4184, 4460)
3746: (4184, 4508)
3747: (4184, 5209)
3748: (4184, 5741)
3749: (4184, 5801)
3750: (4184, 6262)
3751: (4184, 6272)
3752: (4185, 3858)
3753: (4185, 4417)
3754: (4185, 5024)
3755: (4185, 5608)
3756: (4186, 4954)
3757: (4186, 5076)
3758: (4187, 3278)
3759: (4187, 3605)
3760: (4187, 4449)
3761: (4187, 6055)
3762: (4188, 2868)
3763: (4188, 4494)
3764: (4188, 5338)
3765: (4188, 5373)
3766: (4188, 5615)
3767: (4188, 6012)
3768: (4188, 6344)
3769: (4189, 2943)
3770: (4189, 5542)
3771: (4189, 5824)
3772: (4189, 6400)
3773: (4189, 6963)
3774: (4190, 3005)
3775: (4190, 5662)
3776: (4190, 5912)
3777: (4190, 6178)
3778: (4190, 7288)
3779: (4190, 7857)
3780: (4191, 3352)
3781: (4191, 5797)
3782: (4191, 6210)
3783: (4192, 4717)
3784: (4192, 4923)
3785: (4192, 4992)
3786: (4192, 5862)
3787: (4192, 5933)
3788: (4192, 6220)
3789: (4192, 6232)
3790: (4192, 6529)
3791: (4193, 3635)
3792: (4193, 5093)
3793: (4193, 5304)
3794: (4193, 6065)
3795: (4193, 7437)
3796: (4193, 9311)
3797: (4194, 2925)
3798: (4194, 5645)
3799: (4194, 5669)
3800: (4194, 5886)
3801: (4195, 4886)
3802: (4195, 4906)
3803: (4195, 5945)
3804: (4195, 5977)
3805: (4195, 9366)
3806: (4196, 4981)
3807: (4196, 5566)
3808: (4197, 4476)
3809: (4197, 5729)
3810: (4197, 9425)
3811: (4198, 4459)
3812: (4198, 8242)
3813: (4199, 5711)
3814: (4199, 5987)
3815: (4199, 6805)
3816: (4200, 2827)
3817: (4200, 4767)
3818: (4200, 6088)
3819: (4202, 3338)
3820: (4202, 8362)
3821: (4203, 5138)
3822: (4203, 5558)
3823: (4203, 5959)
3824: (4203, 6212)
3825: (4203, 6997)
3826: (4204, 5105)
3827: (4204, 5768)
3828: (4204, 6698)
3829: (4204, 7221)
3830: (4204, 7650)
3831: (4205, 3763)
3832: (4205, 4820)
3833: (4205, 5899)
3834: (4205, 6261)
3835: (4205, 8969)
3836: (4206, 2946)
3837: (4206, 5748)
3838: (4206, 6165)
3839: (4206, 8142)
3840: (4207, 3528)
3841: (4207, 5444)
3842: (4208, 3726)
3843: (4208, 4882)
3844: (4208, 5190)
3845: (4208, 5531)
3846: (4208, 5539)
3847: (4208, 5656)
3848: (4208, 8264)
3849: (4209, 3889)
3850: (4209, 5250)
3851: (4209, 5272)
3852: (4209, 5297)
3853: (4209, 5324)
3854: (4209, 6054)
3855: (4209, 9492)
3856: (4210, 2666)
3857: (4210, 5167)
3858: (4210, 6464)
3859: (4210, 7199)
3860: (4210, 7532)
3861: (4210, 8077)
3862: (4210, 8859)
3863: (4210, 9122)
3864: (4211, 3218)
3865: (4211, 5349)
3866: (4211, 6338)
3867: (4211, 6866)
3868: (4212, 2975)
3869: (4212, 4780)
3870: (4212, 5819)
3871: (4212, 6071)
3872: (4212, 6162)
3873: (4213, 5670)
3874: (4213, 5683)
3875: (4213, 5789)
3876: (4213, 5844)
3877: (4213, 6195)
3878: (4213, 6285)
3879: (4213, 6389)
3880: (4214, 5117)
3881: (4214, 5883)
3882: (4214, 6250)
3883: (4214, 6736)
3884: (4214, 7048)
3885: (4214, 7147)
3886: (4215, 3508)
3887: (4215, 3605)
3888: (4215, 4644)
3889: (4215, 5969)
3890: (4216, 5935)
3891: (4216, 8918)
3892: (4217, 4518)
3893: (4217, 5232)
3894: (4217, 6902)
3895: (4217, 8594)
3896: (4217, 9088)
3897: (4218, 2730)
3898: (4218, 3090)
3899: (4218, 5776)
3900: (4218, 6845)
3901: (4218, 8662)
3902: (4219, 3123)
3903: (4219, 3685)
3904: (4219, 4402)
3905: (4219, 4485)
3906: (4219, 5213)
3907: (4220, 4452)
3908: (4220, 7736)
3909: (4221, 3905)
3910: (4221, 5064)
3911: (4221, 6134)
3912: (4222, 3635)
3913: (4222, 4383)
3914: (4222, 4856)
3915: (4222, 5286)
3916: (4222, 8815)
3917: (4222, 9023)
3918: (4223, 4463)
3919: (4223, 5328)
3920: (4223, 5628)
3921: (4223, 6013)
3922: (4223, 7817)
3923: (4224, 6058)
3924: (4224, 6088)
3925: (4224, 6927)
3926: (4225, 5161)
3927: (4225, 6172)
3928: (4226, 5754)
3929: (4226, 5887)
3930: (4226, 6044)
3931: (4226, 6227)
3932: (4226, 9155)
3933: (4227, 2917)
3934: (4227, 3267)
3935: (4227, 5270)
3936: (4227, 5762)
3937: (4228, 5564)
3938: (4228, 5861)
3939: (4228, 6107)
3940: (4229, 5182)
3941: (4229, 6252)
3942: (4229, 9231)
3943: (4230, 3731)
3944: (4230, 4664)
3945: (4230, 5973)
3946: (4230, 8293)
3947: (4231, 5705)
3948: (4231, 5726)
3949: (4232, 9267)
3950: (4233, 3408)
3951: (4233, 4890)
3952: (4233, 5741)
3953: (4233, 5986)
3954: (4233, 5995)
3955: (4233, 6129)
3956: (4233, 7048)
3957: (4234, 2741)
3958: (4234, 2825)
3959: (4234, 3147)
3960: (4234, 5102)
3961: (4234, 6638)
3962: (4234, 8214)
3963: (4235, 4438)
3964: (4235, 6035)
3965: (4235, 7347)
3966: (4235, 8746)
3967: (4236, 5915)
3968: (4236, 5998)
3969: (4236, 6092)
3970: (4236, 8496)
3971: (4237, 3211)
3972: (4237, 4333)
3973: (4237, 4917)
3974: (4237, 4973)
3975: (4237, 5244)
3976: (4237, 5366)
3977: (4237, 5807)
3978: (4237, 7959)
3979: (4238, 5774)
3980: (4238, 8107)
3981: (4239, 2693)
3982: (4239, 3166)
3983: (4239, 6139)
3984: (4240, 3665)
3985: (4240, 3789)
3986: (4240, 5567)
3987: (4240, 5695)
3988: (4240, 5835)
3989: (4240, 5948)
3990: (4241, 4375)
3991: (4241, 7015)
3992: (4242, 5896)
3993: (4243, 5853)
3994: (4243, 6218)
3995: (4244, 5643)
3996: (4244, 6071)
3997: (4245, 5921)
3998: (4245, 6193)
3999: (4245, 6506)
4000: (4246, 3292)
4001: (4246, 3761)
4002: (4246, 4955)
4003: (4246, 5425)
4004: (4246, 5688)
4005: (4246, 6964)
4006: (4247, 4500)
4007: (4247, 4940)
4008: (4247, 5220)
4009: (4248, 3680)
4010: (4248, 4353)
4011: (4248, 4464)
4012: (4248, 5204)
4013: (4248, 5524)
4014: (4248, 5746)
4015: (4248, 6001)
4016: (4248, 7468)
4017: (4248, 9335)
4018: (4249, 5766)
4019: (4249, 6168)
4020: (4249, 7114)
4021: (4249, 8763)
4022: (4250, 3921)
4023: (4250, 3940)
4024: (4250, 4440)
4025: (4250, 4545)
4026: (4250, 5052)
4027: (4250, 6425)
4028: (4251, 2792)
4029: (4251, 2873)
4030: (4251, 3616)
4031: (4251, 5135)
4032: (4251, 5160)
4033: (4251, 6051)
4034: (4251, 6089)
4035: (4251, 8985)
4036: (4252, 4907)
4037: (4253, 5178)
4038: (4253, 5897)
4039: (4253, 7406)
4040: (4254, 5144)
4041: (4254, 5254)
4042: (4254, 5348)
4043: (4254, 5721)
4044: (4254, 6907)
4045: (4254, 8544)
4046: (4254, 8948)
4047: (4255, 2743)
4048: (4255, 5272)
4049: (4255, 5659)
4050: (4255, 5782)
4051: (4255, 5974)
4052: (4255, 6295)
4053: (4256, 3643)
4054: (4256, 5925)
4055: (4257, 5939)
4056: (4257, 6387)
4057: (4258, 5211)
4058: (4258, 5842)
4059: (4258, 5882)
4060: (4258, 6304)
4061: (4259, 3853)
4062: (4259, 3953)
4063: (4259, 4763)
4064: (4259, 5245)
4065: (4259, 5369)
4066: (4259, 6110)
4067: (4260, 3301)
4068: (4260, 5668)
4069: (4260, 7916)
4070: (4261, 3119)
4071: (4261, 9432)
4072: (4262, 4967)
4073: (4263, 5323)
4074: (4263, 5967)
4075: (4263, 7167)
4076: (4264, 2666)
4077: (4264, 4459)
4078: (4264, 4694)
4079: (4264, 5740)
4080: (4264, 6251)
4081: (4265, 5087)
4082: (4265, 5650)
4083: (4265, 5952)
4084: (4265, 6583)
4085: (4265, 8866)
4086: (4266, 4319)
4087: (4266, 4935)
4088: (4266, 5691)
4089: (4266, 5877)
4090: (4266, 6627)
4091: (4266, 6832)
4092: (4267, 6042)
4093: (4268, 4745)
4094: (4268, 5922)
4095: (4268, 6134)
4096: (4269, 3970)
4097: (4269, 4388)
4098: (4269, 5158)
4099: (4269, 5391)
4100: (4269, 6175)
4101: (4270, 4000)
4102: (4270, 6091)
4103: (4270, 7847)
4104: (4271, 3469)
4105: (4271, 5176)
4106: (4271, 5683)
4107: (4271, 5768)
4108: (4271, 7268)
4109: (4271, 8058)
4110: (4272, 3612)
4111: (4272, 3816)
4112: (4272, 5231)
4113: (4272, 5282)
4114: (4272, 5769)
4115: (4272, 5860)
4116: (4272, 6012)
4117: (4272, 9361)
4118: (4273, 5964)
4119: (4273, 10040)
4120: (4274, 2712)
4121: (4274, 5046)
4122: (4274, 5699)
4123: (4274, 6033)
4124: (4274, 6207)
4125: (4275, 3712)
4126: (4275, 4405)
4127: (4275, 4958)
4128: (4275, 6788)
4129: (4275, 8566)
4130: (4275, 9603)
4131: (4276, 5125)
4132: (4276, 7059)
4133: (4276, 7423)
4134: (4277, 2737)
4135: (4277, 2942)
4136: (4277, 3877)
4137: (4277, 4550)
4138: (4277, 5829)
4139: (4278, 3180)
4140: (4278, 4417)
4141: (4278, 5799)
4142: (4278, 5987)
4143: (4278, 6138)
4144: (4278, 7195)
4145: (4279, 3540)
4146: (4279, 3759)
4147: (4279, 4565)
4148: (4279, 5502)
4149: (4279, 6122)
4150: (4279, 7610)
4151: (4280, 5807)
4152: (4281, 5891)
4153: (4281, 6979)
4154: (4282, 3378)
4155: (4282, 4945)
4156: (4282, 5105)
4157: (4282, 6686)
4158: (4282, 9073)
4159: (4283, 5085)
4160: (4283, 6502)
4161: (4283, 6989)
4162: (4284, 5623)
4163: (4284, 5721)
4164: (4284, 6074)
4165: (4284, 6104)
4166: (4284, 7039)
4167: (4284, 8411)
4168: (4285, 2790)
4169: (4285, 4325)
4170: (4285, 4430)
4171: (4285, 4985)
4172: (4285, 5383)
4173: (4285, 6038)
4174: (4285, 6178)
4175: (4285, 6376)
4176: (4285, 9010)
4177: (4286, 4468)
4178: (4286, 4478)
4179: (4286, 5684)
4180: (4286, 9461)
4181: (4287, 4872)
4182: (4287, 5012)
4183: (4287, 6315)
4184: (4287, 7879)
4185: (4287, 8228)
4186: (4288, 8167)
4187: (4289, 3334)
4188: (4290, 3785)
4189: (4290, 3836)
4190: (4290, 5781)
4191: (4291, 5339)
4192: (4291, 5673)
4193: (4292, 3005)
4194: (4292, 4390)
4195: (4292, 6259)
4196: (4292, 7524)
4197: (4293, 5520)
4198: (4293, 6051)
4199: (4293, 6825)
4200: (4294, 5815)
4201: (4294, 6917)
4202: (4295, 4404)
4203: (4295, 4491)
4204: (4295, 4518)
4205: (4295, 5238)
4206: (4295, 6102)
4207: (4295, 8362)
4208: (4296, 5051)
4209: (4296, 5203)
4210: (4296, 5827)
4211: (4296, 5985)
4212: (4296, 6183)
4213: (4296, 9220)
4214: (4297, 2678)
4215: (4297, 4329)
4216: (4297, 7773)
4217: (4297, 7999)
4218: (4298, 3273)
4219: (4298, 3857)
4220: (4298, 4502)
4221: (4298, 5665)
4222: (4298, 6460)
4223: (4298, 8634)
4224: (4299, 3993)
4225: (4299, 5570)
4226: (4299, 8099)
4227: (4299, 8730)
4228: (4300, 3807)
4229: (4300, 5648)
4230: (4300, 6022)
4231: (4300, 6546)
4232: (4300, 6764)
4233: (4301, 3499)
4234: (4301, 4454)
4235: (4301, 4832)
4236: (4302, 2877)
4237: (4302, 4343)
4238: (4302, 5636)
4239: (4302, 5789)
4240: (4302, 7829)
4241: (4303, 5020)
4242: (4303, 5082)
4243: (4303, 5274)
4244: (4303, 6402)
4245: (4303, 9318)
4246: (4304, 4011)
4247: (4304, 5115)
4248: (4304, 6006)
4249: (4304, 6129)
4250: (4305, 2966)
4251: (4305, 3926)
4252: (4305, 8476)
4253: (4305, 9329)
4254: (4306, 6710)
4255: (4306, 8063)
4256: (4307, 2790)
4257: (4307, 3548)
4258: (4307, 4979)
4259: (4307, 5308)
4260: (4307, 6866)
4261: (4307, 9153)
4262: (4308, 2763)
4263: (4308, 5947)
4264: (4308, 7558)
4265: (4309, 3450)
4266: (4309, 4508)
4267: (4309, 4692)
4268: (4309, 4706)
4269: (4309, 5148)
4270: (4309, 7108)
4271: (4309, 9400)
4272: (4310, 3355)
4273: (4310, 8316)
4274: (4311, 2707)
4275: (4311, 4477)
4276: (4311, 5245)
4277: (4311, 6066)
4278: (4312, 4383)
4279: (4312, 6645)
4280: (4312, 9062)
4281: (4313, 4437)
4282: (4313, 5844)
4283: (4313, 6188)
4284: (4314, 3095)
4285: (4314, 4529)
4286: (4314, 5072)
4287: (4314, 5290)
4288: (4314, 6359)
4289: (4314, 6604)
4290: (4314, 9033)
4291: (4315, 3962)
4292: (4315, 4936)
4293: (4316, 5214)
4294: (4316, 5695)
4295: (4316, 7704)
4296: (4317, 5203)
4297: (4317, 6098)
4298: (4318, 3861)
4299: (4318, 5826)
4300: (4318, 9188)
4301: (4319, 3604)
4302: (4319, 5478)
4303: (4319, 5546)
4304: (4319, 8861)
4305: (4320, 3752)
4306: (4320, 4366)
4307: (4320, 4543)
4308: (4320, 6112)
4309: (4320, 8101)
4310: (4321, 5018)
4311: (4322, 4854)
4312: (4322, 4914)
4313: (4322, 5881)
4314: (4322, 6088)
4315: (4322, 6971)
4316: (4323, 3170)
4317: (4323, 3470)
4318: (4323, 5172)
4319: (4323, 5739)
4320: (4323, 7911)
4321: (4324, 3339)
4322: (4324, 4388)
4323: (4324, 5354)
4324: (4324, 5768)
4325: (4324, 5784)
4326: (4324, 5986)
4327: (4324, 6307)
4328: (4324, 8818)
4329: (4325, 2861)
4330: (4325, 4347)
4331: (4326, 5142)
4332: (4326, 8138)
4333: (4327, 3081)
4334: (4327, 3246)
4335: (4327, 4550)
4336: (4327, 4687)
4337: (4327, 5598)
4338: (4327, 6026)
4339: (4327, 6127)
4340: (4328, 2840)
4341: (4328, 5761)
4342: (4328, 6822)
4343: (4328, 8251)
4344: (4328, 9254)
4345: (4328, 9360)
4346: (4328, 9506)
4347: (4329, 4897)
4348: (4329, 5279)
4349: (4329, 7388)
4350: (4330, 4341)
4351: (4330, 4840)
4352: (4330, 5680)
4353: (4330, 7999)
4354: (4331, 2826)
4355: (4331, 4509)
4356: (4331, 4870)
4357: (4331, 5009)
4358: (4331, 5237)
4359: (4331, 5639)
4360: (4331, 7430)
4361: (4331, 8417)
4362: (4331, 9130)
4363: (4332, 3873)
4364: (4332, 6136)
4365: (4332, 9453)
4366: (4333, 3057)
4367: (4333, 4572)
4368: (4333, 5043)
4369: (4334, 5915)
4370: (4334, 8608)
4371: (4335, 6104)
4372: (4336, 4382)
4373: (4336, 5947)
4374: (4336, 6713)
4375: (4337, 2995)
4376: (4337, 3999)
4377: (4337, 5139)
4378: (4337, 5257)
4379: (4337, 5689)
4380: (4337, 5724)
4381: (4337, 5802)
4382: (4337, 6037)
4383: (4337, 6401)
4384: (4337, 7238)
4385: (4337, 7665)
4386: (4337, 7876)
4387: (4338, 3557)
4388: (4338, 6002)
4389: (4338, 7076)
4390: (4338, 8925)
4391: (4339, 3814)
4392: (4339, 4538)
4393: (4339, 7337)
4394: (4340, 6856)
4395: (4341, 3443)
4396: (4341, 4959)
4397: (4341, 5298)
4398: (4341, 5642)
4399: (4341, 6062)
4400: (4341, 7482)
4401: (4341, 7840)
4402: (4341, 8318)
4403: (4342, 4427)
4404: (4342, 4545)
4405: (4342, 5267)
4406: (4342, 6087)
4407: (4343, 2826)
4408: (4343, 5432)
4409: (4343, 5749)
4410: (4343, 7597)
4411: (4344, 3482)
4412: (4344, 5063)
4413: (4345, 3905)
4414: (4345, 4560)
4415: (4345, 4698)
4416: (4345, 5655)
4417: (4345, 8674)
4418: (4346, 5020)
4419: (4346, 5699)
4420: (4346, 9158)
4421: (4346, 9281)
4422: (4347, 2708)
4423: (4347, 3741)
4424: (4347, 4997)
4425: (4347, 6131)
4426: (4347, 7918)
4427: (4348, 2897)
4428: (4348, 4048)
4429: (4348, 4607)
4430: (4348, 5210)
4431: (4348, 6114)
4432: (4348, 6326)
4433: (4348, 6469)
4434: (4348, 6580)
4435: (4348, 7786)
4436: (4348, 9484)
4437: (4349, 2769)
4438: (4349, 6942)
4439: (4350, 2746)
4440: (4350, 3637)
4441: (4350, 3819)
4442: (4350, 4927)
4443: (4350, 8727)
4444: (4351, 4576)
4445: (4351, 5139)
4446: (4351, 6214)
4447: (4351, 6613)
4448: (4351, 8856)
4449: (4351, 9215)
4450: (4352, 3577)
4451: (4352, 3962)
4452: (4352, 5308)
4453: (4353, 4383)
4454: (4353, 4523)
