[METADATA]
Name: d15112
Dimension: 15112

[TSP_DATA_INFO]
Type: TSP, Traveling salesman problem (TSP) 
2842: (6120, 4650)
2843: (10787, 1176)
2844: (8454, 13020)
2845: (7887, 1835)
2846: (7976, 14549)
2847: (12225, 6184)
2848: (10653, 7449)
2849: (9830, 8444)
2850: (3747, 9701)
2851: (13586, 11653)
2852: (15485, 12157)
2853: (7242, 4084)
2854: (17386, 11584)
2855: (7380, 1689)
2856: (12398, 2093)
2857: (13110, 10249)
2858: (7848, 9635)
2859: (6450, 19173)
2860: (17564, 11796)
2861: (11574, 9721)
2862: (10401, 8832)
2863: (12251, 10042)
2864: (8910, 2480)
2865: (6792, 5540)
2866: (11329, 11508)
2867: (15538, 17198)
2868: (4173, 9075)
2869: (9369, 10091)
2870: (5479, 3705)
2871: (12587, 9200)
2872: (12173, 8004)
2873: (9245, 7643)
2874: (3576, 1732)
2875: (5903, 10467)
2876: (9032, 17607)
2877: (9208, 18592)
2878: (11639, 2759)
2879: (12583, 3426)
2880: (10623, 2080)
2881: (926, 7725)
2882: (975, 8398)
2883: (5999, 9339)
2884: (8759, 10310)
2885: (8762, 11007)
2886: (9550, 11495)
2887: (17840, 11336)
2888: (11328, 11658)
2889: (4138, 7538)
2890: (3716, 7987)
2891: (10640, 6783)
2892: (7932, 22172)
2893: (11364, 7971)
2894: (2679, 6867)
2895: (1859, 8654)
2896: (6872, 20514)
2897: (8815, 12843)
2898: (11469, 11383)
2899: (10518, 11463)
2900: (6644, 20494)
2901: (12009, 13485)
2902: (11695, 6789)
2903: (8754, 15602)
2904: (4357, 5929)
2905: (9213, 4361)
2906: (7102, 11877)
2907: (6502, 11755)
2908: (4401, 17962)
2909: (2454, 8564)
2910: (5356, 6510)
2911: (11803, 13425)
2912: (12800, 2019)
2913: (10415, 9351)
2914: (8716, 12029)
2915: (10435, 7031)
2916: (3066, 901)
2917: (11010, 14230)
2918: (5530, 8002)
2919: (5408, 3600)
2920: (10683, 2704)
2921: (5841, 2212)
2922: (8351, 18118)
2923: (8828, 2110)
2924: (7087, 22608)
2925: (14010, 3149)
2926: (10656, 14727)
2927: (4908, 5324)
2928: (9327, 1561)
2929: (4024, 16252)
2930: (11549, 14337)
2931: (16143, 16086)
2932: (15587, 16253)
2933: (15900, 19870)
2934: (4852, 905)
2935: (14619, 3554)
2936: (13384, 3109)
2937: (10412, 7444)
2938: (13281, 1635)
2939: (6892, 20830)
2940: (15037, 4152)
2941: (10744, 1003)
2942: (11412, 1592)
2943: (10291, 2392)
2944: (10804, 7197)
2945: (12042, 1860)
2946: (10334, 11016)
2947: (10798, 4306)
2948: (10528, 3810)
2949: (9351, 5233)
2950: (9892, 3702)
2951: (7683, 2727)
2952: (9380, 4845)
2953: (1078, 8413)
2954: (3165, 9856)
2955: (8055, 20844)
2956: (10232, 9367)
2957: (6051, 3891)
2958: (3762, 8963)
2959: (9749, 16193)
2960: (14259, 11492)
2961: (16476, 11460)
2962: (13129, 11197)
2963: (9570, 9637)
2964: (8250, 9701)
2965: (5715, 16744)
2966: (14189, 10250)
2967: (13231, 11147)
2968: (3483, 1656)
2969: (10596, 10524)
2970: (4997, 10041)
2971: (2819, 6737)
2972: (17598, 11476)
2973: (8252, 7256)
2974: (13458, 9759)
2975: (4999, 7385)
2976: (12949, 9914)
2977: (9385, 9218)
2978: (13986, 15739)
2979: (3656, 10470)
2980: (3269, 10198)
2981: (11047, 2367)
2982: (1842, 9645)
2983: (10968, 14930)
2984: (9538, 9873)
2985: (6864, 7188)
2986: (14187, 3873)
2987: (7667, 9679)
2988: (15189, 17358)
2989: (14811, 19535)
2990: (12626, 9298)
2991: (16323, 13895)
2992: (14210, 16693)
2993: (10717, 4645)
2994: (11786, 16558)
2995: (7190, 1641)
2996: (3506, 2193)
2997: (8401, 12228)
2998: (15216, 15721)
2999: (16295, 16888)
3000: (7472, 16670)
3001: (10449, 15562)
3002: (11459, 14255)
3003: (8579, 16145)
3004: (15930, 18671)
3005: (5928, 1408)
3006: (8887, 11914)
3007: (9112, 12161)
3008: (13388, 12775)
3009: (10257, 14354)
3010: (907, 8722)
3011: (10174, 14408)
3012: (10598, 14870)
3013: (7709, 14621)
3014: (3167, 750)
3015: (7774, 14009)
3016: (10582, 15097)
3017: (8829, 17395)
3018: (4734, 7489)
3019: (7999, 13840)
3020: (11922, 10786)
3021: (9532, 19753)
3022: (5250, 7143)
3023: (9165, 9786)
3024: (2773, 9121)
3025: (8996, 9664)
3026: (3389, 6982)
3027: (4396, 7085)
3028: (14165, 10622)
3029: (10184, 10918)
3030: (8596, 13649)
3031: (12961, 1941)
3032: (1126, 7829)
3033: (8874, 11186)
3034: (4596, 1754)
3035: (9478, 634)
3036: (4275, 6790)
3037: (12001, 11190)
3038: (7980, 21274)
3039: (8547, 7763)
3040: (17222, 15165)
3041: (1597, 8414)
3042: (17476, 11917)
3043: (10039, 9480)
3044: (9706, 9315)
3045: (4236, 8963)
3046: (5444, 4840)
3047: (7880, 7362)
3048: (11265, 12941)
3049: (7640, 4025)
3050: (3635, 9389)
3051: (10986, 4421)
3052: (7838, 10511)
3053: (3148, 10611)
3054: (12218, 2987)
3055: (13298, 21248)
3056: (7960, 22623)
3057: (8753, 14659)
3058: (3899, 10540)
3059: (3647, 1121)
3060: (4026, 9874)
3061: (8755, 13294)
3062: (9799, 13675)
3063: (4345, 9749)
3064: (4497, 4761)
3065: (8397, 3226)
3066: (2513, 7246)
3067: (10976, 17903)
3068: (8882, 16534)
3069: (9569, 13591)
3070: (9475, 12598)
3071: (8165, 8606)
3072: (9925, 10371)
3073: (11447, 9731)
3074: (6209, 22205)
3075: (3998, 10474)
3076: (10403, 10839)
3077: (13038, 9717)
3078: (2465, 7221)
3079: (8683, 4996)
3080: (10098, 16901)
3081: (3657, 9820)
3082: (2631, 8589)
3083: (8070, 19889)
3084: (7969, 19588)
3085: (7931, 21287)
3086: (7805, 19821)
3087: (3490, 8189)
3088: (10842, 11731)
3089: (10042, 3714)
3090: (6341, 23437)
3091: (6874, 5444)
3092: (10214, 5151)
3093: (9184, 9846)
3094: (7147, 22150)
3095: (9537, 13089)
3096: (1992, 8730)
3097: (8502, 4826)
3098: (2378, 7044)
3099: (8917, 2893)
3100: (9185, 19227)
3101: (8726, 19920)
3102: (10310, 20661)
3103: (11964, 21195)
3104: (5863, 19352)
3105: (7606, 19907)
3106: (3975, 6161)
3107: (6475, 20879)
3108: (7010, 18265)
3109: (1407, 11194)
3110: (13663, 11253)
3111: (7376, 21453)
3112: (12007, 4047)
3113: (6537, 7650)
3114: (5311, 18271)
3115: (13985, 15138)
3116: (7273, 20072)
3117: (13977, 13265)
3118: (12278, 13798)
3119: (4452, 10003)
3120: (14023, 16191)
3121: (13744, 13948)
3122: (12566, 10091)
3123: (12651, 11783)
3124: (15213, 12859)
3125: (16439, 12174)
3126: (13985, 10031)
3127: (9595, 8048)
3128: (4428, 8268)
3129: (10088, 11425)
3130: (4271, 9486)
3131: (4194, 2433)
3132: (7731, 14769)
3133: (6567, 6250)
3134: (3134, 6928)
3135: (8877, 18076)
3136: (7470, 21188)
3137: (10741, 15153)
3138: (2970, 18792)
3139: (7243, 2565)
3140: (7586, 2516)
3141: (9633, 3369)
3142: (10460, 14192)
3143: (7962, 21484)
3144: (9599, 10904)
3145: (2181, 16421)
3146: (635, 8472)
3147: (5850, 23220)
3148: (3295, 8698)
3149: (3736, 2283)
3150: (9315, 17602)
3151: (877, 14081)
3152: (12614, 1820)
3153: (10967, 2395)
3154: (7034, 14538)
3155: (14050, 2479)
3156: (4290, 10391)
3157: (5828, 1625)
3158: (8442, 10213)
3159: (5532, 3088)
3160: (2998, 15726)
3161: (3433, 15026)
3162: (9668, 6665)
3163: (10216, 9260)
3164: (6789, 12025)
3165: (13589, 15424)
3166: (4706, 17028)
3167: (6253, 17284)
3168: (11604, 7823)
3169: (3448, 2347)
3170: (3827, 8834)
3171: (10928, 13520)
3172: (12501, 10640)
3173: (2775, 15731)
3174: (6328, 22963)
3175: (7230, 19942)
3176: (6156, 16857)
3177: (9440, 10792)
3178: (13596, 2250)
3179: (5437, 4514)
3180: (7004, 19582)
3181: (13103, 12399)
3182: (3072, 11310)
3183: (4334, 7881)
3184: (11123, 6436)
3185: (5667, 1404)
3186: (5449, 14864)
3187: (11039, 10634)
3188: (10814, 16354)
3189: (6749, 3061)
3190: (6704, 3375)
3191: (3906, 6595)
3192: (2416, 8215)
3193: (2991, 12287)
3194: (4381, 13925)
3195: (1778, 7713)
3196: (12222, 6095)
3197: (1577, 6096)
3198: (4205, 12917)
3199: (4379, 7620)
3200: (3983, 10127)
3201: (824, 8081)
3202: (5072, 3938)
3203: (6505, 20997)
3204: (6016, 6052)
3205: (5303, 2600)
3206: (1976, 6393)
3207: (5393, 6275)
3208: (4471, 7302)
3209: (2321, 9052)
3210: (3188, 5410)
3211: (14671, 10749)
3212: (4081, 9469)
3213: (15087, 4725)
3214: (5889, 7995)
3215: (5998, 5424)
3216: (9353, 2356)
3217: (4976, 8617)
3218: (3550, 8306)
3219: (8007, 2852)
3220: (6174, 7076)
3221: (12409, 7663)
3222: (8534, 9933)
3223: (4210, 7442)
3224: (11438, 12769)
3225: (2193, 8185)
3226: (2976, 6900)
3227: (12264, 2811)
3228: (6812, 4799)
3229: (14331, 10797)
3230: (10961, 2898)
3231: (10365, 2111)
3232: (6999, 21633)
3233: (1791, 10752)
3234: (10274, 11199)
3235: (8898, 6545)
3236: (4065, 9026)
3237: (12767, 3676)
3238: (12838, 4038)
3239: (13624, 2737)
3240: (14832, 2823)
3241: (7291, 669)
3242: (912, 11701)
3243: (7041, 3578)
3244: (9610, 15034)
3245: (8950, 1955)
3246: (15492, 15911)
3247: (2115, 12072)
3248: (13846, 9816)
3249: (7913, 7666)
3250: (13684, 9690)
3251: (10296, 6839)
3252: (14070, 11383)
3253: (9742, 9809)
3254: (14069, 2824)
3255: (13018, 9186)
3256: (13952, 11707)
3257: (13743, 10594)
3258: (14223, 11446)
3259: (6700, 5521)
3260: (6514, 7543)
3261: (7475, 7547)
3262: (3829, 5417)
3263: (4493, 5397)
3264: (8208, 2037)
3265: (6190, 8639)
3266: (6408, 5049)
3267: (12484, 12547)
3268: (10865, 13567)
3269: (9960, 11164)
3270: (4798, 11305)
3271: (11524, 4147)
3272: (2628, 8667)
3273: (9449, 10832)
3274: (10564, 9679)
3275: (908, 7846)
3276: (8388, 2126)
3277: (2747, 10070)
3278: (3288, 10381)
3279: (8574, 12075)
3280: (7142, 2145)
3281: (4987, 13220)
3282: (10648, 15089)
3283: (11618, 16763)
3284: (3327, 6654)
3285: (5509, 7958)
3286: (1821, 7920)
3287: (1427, 9427)
3288: (7989, 4603)
3289: (6702, 7553)
3290: (4149, 5568)
3291: (3275, 1562)
3292: (5344, 8618)
3293: (5026, 2435)
3294: (10758, 10526)
3295: (2376, 16226)
3296: (8825, 18998)
3297: (8675, 16682)
3298: (13229, 11459)
3299: (5850, 5982)
3300: (7575, 3904)
3301: (11953, 7391)
3302: (9704, 11353)
3303: (4934, 10706)
3304: (10784, 586)
3305: (10415, 15276)
3306: (10666, 9557)
3307: (7527, 14166)
3308: (537, 8685)
3309: (14244, 6038)
3310: (8350, 11839)
3311: (797, 10885)
3312: (3759, 19632)
3313: (7874, 22922)
3314: (13456, 6838)
3315: (4627, 12103)
3316: (5596, 15629)
3317: (13101, 11960)
3318: (10566, 12356)
3319: (7560, 16553)
3320: (7267, 7648)
3321: (4399, 7312)
3322: (4278, 16691)
3323: (2353, 12794)
3324: (12871, 3787)
3325: (4480, 7980)
3326: (11942, 4793)
3327: (4449, 5777)
3328: (8290, 4369)
3329: (1140, 8039)
3330: (6788, 4127)
3331: (10863, 16234)
3332: (8241, 7584)
3333: (3717, 17554)
3334: (6578, 16203)
3335: (6750, 19327)
3336: (10967, 14349)
3337: (2164, 7560)
3338: (10510, 15641)
3339: (2940, 6685)
3340: (10568, 487)
3341: (1280, 8396)
3342: (9144, 11174)
3343: (8717, 10892)
3344: (3676, 2695)
3345: (10408, 5207)
3346: (10758, 11371)
3347: (8842, 10931)
3348: (3957, 9839)
3349: (4936, 4813)
3350: (2655, 9366)
3351: (9609, 2158)
3352: (3640, 10618)
3353: (14563, 11531)
3354: (12091, 11222)
3355: (11098, 10470)
3356: (9521, 12855)
3357: (11460, 6656)
3358: (12507, 6975)
3359: (13729, 16131)
3360: (10571, 12093)
3361: (13528, 11875)
3362: (14257, 10862)
3363: (8502, 8322)
3364: (8286, 8590)
3365: (13207, 11825)
3366: (11914, 11870)
3367: (3170, 10124)
3368: (3405, 6675)
3369: (14502, 11153)
3370: (2521, 8994)
3371: (13504, 14160)
3372: (11236, 1389)
3373: (10508, 2873)
3374: (765, 8734)
3375: (1835, 10313)
3376: (9373, 21092)
3377: (5581, 3341)
3378: (13382, 13912)
3379: (7848, 8098)
3380: (4048, 5794)
3381: (10363, 15561)
3382: (8070, 14245)
3383: (3373, 19370)
3384: (4053, 14230)
3385: (9612, 14955)
3386: (3892, 9882)
3387: (9332, 9570)
3388: (6553, 14598)
3389: (10902, 10070)
3390: (5448, 16564)
3391: (8525, 18158)
3392: (6732, 16801)
3393: (11597, 10014)
3394: (11093, 11693)
3395: (3227, 6827)
3396: (3583, 9275)
3397: (14349, 15472)
3398: (11041, 18882)
3399: (7542, 22232)
3400: (8884, 21779)
3401: (6480, 6355)
3402: (10031, 16835)
3403: (15308, 19105)
3404: (8700, 20484)
3405: (15918, 19113)
3406: (11498, 2942)
3407: (14052, 15965)
3408: (2411, 8695)
3409: (12426, 10700)
3410: (13589, 10838)
3411: (8776, 11634)
3412: (14454, 10920)
3413: (14318, 10241)
3414: (13936, 3322)
3415: (16425, 15822)
3416: (13651, 13284)
3417: (11695, 17127)
3418: (12783, 7730)
3419: (14587, 13262)
3420: (15827, 17122)
3421: (13589, 5071)
3422: (12418, 18207)
3423: (15729, 10845)
3424: (13880, 12606)
3425: (12796, 11580)
3426: (13860, 16052)
3427: (14187, 16273)
3428: (3837, 6952)
3429: (13366, 5346)
3430: (12988, 9694)
3431: (14530, 17362)
3432: (15834, 18576)
3433: (7656, 17085)
3434: (8962, 10462)
3435: (10616, 383)
3436: (8929, 21667)
3437: (11317, 12608)
3438: (1734, 7410)
3439: (11440, 15293)
3440: (6969, 18869)
3441: (7096, 7462)
3442: (13457, 19620)
3443: (8756, 11902)
3444: (8563, 17193)
3445: (6656, 21531)
3446: (4251, 10195)
3447: (13522, 17047)
3448: (10088, 9692)
3449: (16527, 14181)
3450: (13667, 2139)
3451: (3762, 7503)
3452: (12124, 9316)
3453: (951, 8276)
3454: (16103, 17835)
3455: (9126, 11837)
3456: (10983, 1654)
3457: (6613, 10164)
3458: (4172, 1399)
3459: (14745, 18706)
3460: (8123, 21617)
3461: (10087, 12144)
3462: (13720, 14507)
3463: (9047, 20172)
3464: (11894, 2298)
3465: (13480, 4520)
3466: (12140, 1541)
3467: (14097, 14778)
3468: (1645, 7561)
3469: (6757, 4397)
3470: (7420, 8611)
3471: (8561, 2059)
3472: (8337, 21936)
3473: (7106, 11681)
3474: (3825, 10493)
3475: (12561, 6272)
3476: (13902, 15477)
3477: (12945, 16493)
3478: (12099, 15800)
3479: (15531, 19796)
3480: (15121, 18823)
3481: (14498, 13441)
3482: (8850, 12695)
3483: (8489, 11071)
3484: (5745, 9902)
3485: (863, 7910)
3486: (10740, 6153)
3487: (8896, 5473)
3488: (1047, 8637)
3489: (1428, 9374)
3490: (12002, 8185)
3491: (8705, 5116)
3492: (7631, 4908)
3493: (13803, 15371)
3494: (8879, 21859)
3495: (11731, 13038)
3496: (3248, 10379)
3497: (6603, 3922)
3498: (3369, 8971)
3499: (3731, 18328)
3500: (2148, 8796)
3501: (12854, 18683)
3502: (3600, 7228)
3503: (13389, 20575)
3504: (4194, 11852)
3505: (10390, 1887)
3506: (9225, 3885)
3507: (15375, 17210)
3508: (12066, 2525)
3509: (9402, 10743)
3510: (15527, 13407)
3511: (7612, 18046)
3512: (3832, 18618)
3513: (1054, 7093)
3514: (9619, 2728)
3515: (2905, 7440)
3516: (3929, 6487)
3517: (16221, 11720)
3518: (9193, 10908)
3519: (3490, 5320)
3520: (785, 8314)
3521: (8532, 10145)
3522: (12370, 977)
3523: (5810, 7472)
3524: (12107, 16146)
3525: (8820, 145)
3526: (4321, 2851)
3527: (3143, 827)
3528: (7811, 20675)
3529: (9445, 19086)
3530: (9272, 6201)
3531: (4298, 9290)
3532: (8545, 9760)
3533: (3275, 10237)
3534: (9199, 11658)
3535: (13884, 16805)
3536: (10638, 15441)
3537: (7673, 22171)
3538: (13495, 18090)
3539: (10896, 16902)
3540: (6670, 5294)
3541: (7153, 1468)
3542: (4300, 5804)
3543: (11717, 11706)
3544: (16206, 17841)
3545: (7232, 23110)
3546: (1170, 8944)
3547: (11437, 16797)
3548: (7378, 9461)
3549: (15484, 18210)
3550: (1230, 8365)
3551: (8618, 12265)
3552: (8367, 21416)
3553: (12755, 997)
3554: (5980, 19617)
3555: (14347, 10931)
3556: (7055, 8544)
3557: (5021, 8156)
3558: (4551, 7089)
3559: (9154, 14641)
3560: (13360, 11720)
3561: (9192, 10501)
3562: (4439, 7212)
3563: (4205, 7531)
3564: (5934, 9159)
3565: (13075, 7335)
3566: (12914, 7294)
3567: (5088, 2778)
3568: (11295, 11446)
3569: (3449, 10241)
3570: (1979, 8306)
3571: (7494, 21620)
3572: (13144, 11499)
3573: (3076, 6747)
3574: (7854, 20421)
3575: (1671, 7816)
3576: (11410, 14094)
3577: (10720, 9232)
3578: (17468, 12454)
3579: (8729, 11077)
3580: (11983, 10155)
3581: (12991, 15958)
3582: (2677, 6953)
3583: (4835, 3985)
3584: (3482, 2470)
3585: (14752, 10503)
3586: (10411, 7244)
3587: (7278, 5871)
3588: (9188, 4174)
3589: (3650, 10707)
3590: (5290, 5483)
3591: (2706, 8911)
3592: (2780, 8483)
3593: (4496, 6368)
3594: (17336, 13873)
3595: (12391, 2436)
3596: (12268, 2371)
3597: (3304, 10394)
3598: (12152, 10502)
3599: (5912, 7352)
3600: (4503, 7461)
3601: (7160, 8324)
3602: (3385, 6749)
3603: (14041, 11330)
3604: (6137, 11568)
3605: (5848, 11461)
3606: (14278, 11085)
3607: (13377, 17672)
3608: (11121, 11182)
3609: (4221, 6244)
3610: (7150, 16796)
3611: (14270, 14839)
3612: (14210, 14814)
3613: (13478, 11593)
3614: (9791, 10507)
3615: (8309, 5164)
3616: (12670, 12382)
3617: (8376, 9841)
3618: (8793, 11558)
3619: (4067, 6429)
3620: (14625, 11064)
3621: (16423, 11856)
3622: (4845, 6703)
3623: (8859, 7753)
3624: (5589, 8540)
3625: (17028, 15736)
3626: (12036, 12278)
3627: (4197, 5739)
3628: (13550, 21342)
3629: (1444, 7314)
3630: (13100, 1198)
3631: (12365, 13594)
3632: (15074, 5050)
3633: (2680, 7228)
3634: (13432, 11567)
3635: (15979, 17988)
3636: (15111, 12606)
3637: (12566, 1979)
3638: (11667, 11342)
3639: (8523, 10865)
3640: (15308, 10779)
3641: (9940, 9956)
3642: (12427, 3012)
3643: (12948, 10410)
3644: (1880, 11085)
3645: (11220, 13482)
3646: (9587, 19648)
3647: (8028, 14162)
3648: (7128, 19155)
3649: (13317, 15118)
3650: (15468, 16245)
3651: (8608, 20263)
3652: (12350, 18479)
3653: (3970, 7572)
3654: (3899, 2377)
3655: (6597, 4743)
3656: (14899, 11117)
3657: (6906, 20098)
3658: (3725, 1875)
3659: (15405, 14774)
3660: (9763, 12004)
3661: (14492, 17134)
3662: (8325, 12557)
3663: (16035, 13281)
3664: (11315, 10558)
3665: (7046, 9471)
3666: (7343, 22928)
3667: (6460, 8594)
3668: (12143, 6933)
3669: (14548, 1376)
3670: (3911, 9950)
3671: (4338, 7289)
3672: (4540, 5875)
3673: (3668, 10033)
3674: (12685, 12665)
3675: (4620, 5886)
3676: (2567, 6824)
3677: (11900, 3090)
3678: (11562, 13187)
3679: (5617, 16331)
3680: (15486, 11405)
3681: (9994, 15056)
3682: (6156, 19084)
3683: (9166, 4864)
3684: (13831, 12294)
3685: (9993, 7573)
3686: (3487, 16005)
3687: (14192, 15332)
3688: (3107, 17298)
3689: (6877, 21911)
3690: (6731, 20758)
3691: (4675, 7408)
3692: (8260, 12265)
3693: (13093, 17788)
3694: (12302, 6485)
3695: (15554, 16760)
3696: (3999, 10993)
3697: (6861, 7321)
3698: (1122, 6914)
3699: (4941, 3317)
3700: (6324, 5024)
3701: (11730, 11972)
3702: (12683, 18478)
3703: (10958, 5617)
3704: (15624, 4510)
3705: (6916, 3706)
3706: (8394, 7058)
3707: (6721, 1233)
3708: (6042, 1991)
3709: (14202, 1855)
3710: (5744, 9260)
3711: (10286, 2939)
3712: (15149, 10544)
3713: (11261, 10458)
3714: (4163, 18990)
3715: (11641, 13238)
3716: (11536, 13262)
3717: (8714, 10188)
3718: (15338, 18118)
3719: (12523, 7804)
3720: (12071, 15074)
3721: (12291, 12421)
3722: (4593, 1636)
3723: (16713, 16255)
3724: (15584, 15503)
3725: (17344, 11599)
3726: (12883, 13334)
3727: (10315, 10042)
3728: (15215, 13181)
3729: (7987, 10892)
3730: (4151, 10426)
3731: (8078, 12582)
3732: (16512, 14947)
3733: (14899, 19766)
3734: (12651, 10587)
3735: (5752, 23373)
3736: (9358, 10823)
3737: (16818, 16524)
3738: (10833, 13894)
3739: (10264, 13428)
3740: (5480, 8947)
3741: (6276, 21130)
3742: (7209, 21475)
3743: (13318, 10384)
3744: (7149, 748)
3745: (17228, 13423)
3746: (10283, 9645)
3747: (7207, 21610)
3748: (6187, 20712)
3749: (9351, 12484)
3750: (11522, 19205)
3751: (6602, 21837)
3752: (16518, 18315)
3753: (14491, 17027)
3754: (9385, 12823)
3755: (2249, 6155)
3756: (15307, 17776)
3757: (16034, 11137)
3758: (9310, 11226)
3759: (6900, 11202)
3760: (9785, 11185)
3761: (9999, 11132)
3762: (13182, 16788)
3763: (11518, 9725)
3764: (10748, 13114)
3765: (12788, 10193)
3766: (3893, 11008)
3767: (4693, 7638)
3768: (3805, 3100)
3769: (9352, 1428)
3770: (4152, 17633)
3771: (12162, 10624)
3772: (5823, 4468)
3773: (5534, 2246)
3774: (6813, 11678)
3775: (12421, 9984)
3776: (3807, 1133)
3777: (10293, 12072)
3778: (3847, 12813)
3779: (11747, 9581)
3780: (9355, 11059)
3781: (13301, 11511)
3782: (14244, 9999)
3783: (10604, 11794)
3784: (2647, 6514)
3785: (13399, 11131)
3786: (5613, 10357)
3787: (3070, 8205)
3788: (7400, 1411)
3789: (13505, 3585)
3790: (10910, 13778)
3791: (3554, 9207)
3792: (13236, 12226)
3793: (1924, 9629)
3794: (12610, 7944)
3795: (8084, 8436)
3796: (9992, 1631)
3797: (17049, 15137)
3798: (9811, 4450)
3799: (3915, 7497)
3800: (15911, 10645)
3801: (3752, 16104)
3802: (7085, 13537)
3803: (14200, 18237)
3804: (15456, 4203)
3805: (10887, 2393)
3806: (14216, 18591)
3807: (15172, 4166)
3808: (15979, 10695)
3809: (16084, 15766)
3810: (15008, 18899)
3811: (15172, 3571)
3812: (15708, 13827)
3813: (5738, 7057)
3814: (10238, 6446)
3815: (3593, 10639)
3816: (9716, 496)
3817: (8038, 20476)
3818: (13055, 21869)
3819: (9211, 19302)
3820: (7600, 9870)
3821: (7231, 12037)
3822: (7322, 12416)
3823: (14863, 18591)
3824: (12478, 3707)
3825: (14085, 6040)
3826: (4464, 2032)
3827: (10739, 11253)
3828: (17069, 13689)
3829: (17439, 13227)
3830: (9929, 3275)
3831: (4526, 7636)
3832: (10817, 3404)
3833: (3907, 9326)
3834: (10316, 19727)
3835: (13206, 17931)
3836: (14695, 15117)
3837: (11262, 19472)
3838: (8925, 8215)
3839: (10828, 20367)
3840: (5980, 3855)
3841: (5871, 3604)
3842: (11281, 17077)
3843: (15026, 21765)
3844: (4727, 4372)
3845: (14649, 10823)
3846: (11338, 9787)
3847: (15530, 13750)
3848: (17181, 13677)
3849: (5623, 6147)
3850: (6098, 858)
3851: (7769, 4948)
3852: (5545, 890)
3853: (11093, 4396)
3854: (11592, 1059)
3855: (2627, 9640)
3856: (9750, 19043)
3857: (12252, 19155)
3858: (8788, 6374)
3859: (14229, 11998)
3860: (15139, 15350)
3861: (5938, 23099)
3862: (2580, 9004)
3863: (7870, 22233)
3864: (10537, 19125)
3865: (12298, 3578)
3866: (7443, 3813)
3867: (6619, 2626)
3868: (9989, 11100)
3869: (14783, 18207)
3870: (5448, 17621)
3871: (6755, 16738)
3872: (280, 11469)
3873: (13586, 3234)
3874: (10081, 11843)
3875: (13165, 17206)
3876: (14562, 12295)
3877: (12487, 18761)
3878: (2889, 9081)
3879: (7446, 15683)
3880: (13683, 2310)
3881: (11726, 2619)
3882: (10926, 16079)
3883: (5995, 21700)
3884: (11430, 18113)
3885: (11307, 16441)
3886: (13159, 16258)
3887: (10159, 18530)
3888: (8419, 18269)
3889: (10588, 274)
3890: (14047, 11096)
3891: (4465, 17420)
3892: (13414, 14550)
3893: (13041, 2336)
3894: (15061, 11851)
3895: (8540, 18411)
3896: (13042, 17243)
3897: (11024, 17634)
3898: (16593, 18431)
3899: (13271, 17107)
3900: (14442, 21779)
3901: (15819, 16267)
3902: (15891, 16318)
3903: (12952, 12156)
3904: (10756, 13861)
3905: (16512, 18113)
3906: (12240, 9192)
3907: (11277, 12550)
3908: (4135, 8024)
3909: (4214, 7704)
3910: (4705, 7935)
3911: (4499, 7395)
3912: (4549, 7502)
3913: (4237, 7351)
3914: (12594, 10663)
3915: (4335, 7125)
3916: (3853, 7292)
3917: (8240, 6957)
3918: (14422, 12417)
3919: (6800, 21262)
3920: (11162, 2039)
3921: (16805, 11914)
3922: (17490, 12282)
3923: (12084, 6667)
3924: (14378, 11632)
3925: (10776, 9818)
3926: (12038, 9523)
3927: (10075, 11622)
3928: (3872, 10509)
3929: (3443, 7843)
3930: (8652, 6032)
3931: (11194, 11564)
3932: (5791, 4019)
3933: (6638, 9463)
3934: (16540, 18559)
3935: (2972, 16387)
3936: (11557, 17415)
3937: (8934, 18886)
3938: (2009, 8994)
3939: (10679, 9130)
3940: (11974, 9557)
3941: (11758, 8472)
3942: (8393, 10506)
3943: (9794, 10252)
3944: (3915, 10221)
3945: (3068, 7850)
3946: (10836, 12288)
3947: (4402, 16274)
3948: (12021, 14462)
3949: (7465, 15368)
3950: (15273, 19551)
3951: (10252, 10190)
3952: (10231, 15663)
3953: (14415, 10310)
3954: (3661, 6886)
3955: (628, 8170)
3956: (14397, 5246)
3957: (518, 11370)
3958: (4056, 9291)
3959: (12289, 9532)
3960: (10389, 10475)
3961: (8172, 10377)
3962: (6580, 8560)
3963: (3472, 6095)
3964: (13225, 4477)
3965: (9194, 7409)
3966: (11585, 3996)
3967: (11628, 10775)
3968: (12970, 3336)
3969: (4133, 8162)
3970: (2024, 7376)
3971: (3789, 9005)
3972: (15830, 10688)
3973: (5385, 1615)
3974: (8614, 12388)
3975: (7931, 3766)
3976: (5763, 2744)
3977: (8572, 12000)
3978: (10823, 10483)
3979: (13575, 11501)
3980: (12594, 10475)
3981: (12514, 21352)
3982: (8261, 6754)
3983: (988, 13070)
3984: (8573, 8267)
3985: (14190, 10441)
3986: (1912, 9204)
3987: (9641, 9027)
3988: (16023, 17648)
3989: (10801, 11132)
3990: (6605, 8771)
3991: (2531, 12970)
3992: (10406, 2213)
3993: (8056, 23013)
3994: (13952, 15623)
3995: (3695, 8929)
3996: (6101, 5485)
3997: (6510, 5060)
3998: (427, 8273)
3999: (3100, 7880)
4000: (4288, 9972)
4001: (6382, 10310)
4002: (6188, 11190)
4003: (7614, 8306)
4004: (10050, 4057)
4005: (4085, 3162)
